time	current
7/20/2017 1:42:35 PM	-807.423900E-9
7/20/2017 1:42:36 PM	-807.100200E-9
7/20/2017 1:42:37 PM	-807.500300E-9
7/20/2017 1:42:37 PM	-807.263900E-9
7/20/2017 1:42:38 PM	-807.354400E-9
7/20/2017 1:42:38 PM	-807.063300E-9
7/20/2017 1:42:39 PM	-807.453500E-9
7/20/2017 1:42:40 PM	-807.387100E-9
7/20/2017 1:42:40 PM	-807.331200E-9
7/20/2017 1:42:41 PM	-807.498500E-9
7/20/2017 1:42:41 PM	-807.598600E-9
7/20/2017 1:42:42 PM	-807.598100E-9
7/20/2017 1:42:43 PM	-807.485800E-9
7/20/2017 1:42:43 PM	-807.758200E-9
7/20/2017 1:42:44 PM	-807.654000E-9
7/20/2017 1:42:44 PM	-807.732700E-9
7/20/2017 1:42:45 PM	-807.741300E-9
7/20/2017 1:42:46 PM	-807.851400E-9
7/20/2017 1:42:46 PM	-807.624000E-9
7/20/2017 1:42:47 PM	-807.919600E-9
7/20/2017 1:42:47 PM	-807.968300E-9
7/20/2017 1:42:48 PM	-808.048800E-9
7/20/2017 1:42:49 PM	-807.982400E-9
7/20/2017 1:42:49 PM	-807.905100E-9
7/20/2017 1:42:50 PM	-808.253400E-9
7/20/2017 1:42:50 PM	-808.230200E-9
7/20/2017 1:42:51 PM	-808.428900E-9
7/20/2017 1:42:52 PM	-808.461200E-9
7/20/2017 1:42:52 PM	-808.418900E-9
7/20/2017 1:42:53 PM	-808.366200E-9
7/20/2017 1:42:53 PM	-808.509000E-9
7/20/2017 1:42:54 PM	-808.418500E-9
7/20/2017 1:42:55 PM	-808.483000E-9
7/20/2017 1:42:55 PM	-808.468500E-9
7/20/2017 1:42:56 PM	-808.444800E-9
7/20/2017 1:42:56 PM	-808.568500E-9
7/20/2017 1:42:57 PM	-808.639900E-9
7/20/2017 1:42:58 PM	-808.850900E-9
7/20/2017 1:42:58 PM	-808.687200E-9
7/20/2017 1:42:59 PM	-808.671800E-9
7/20/2017 1:42:59 PM	-808.779100E-9
7/20/2017 1:43:00 PM	-809.072800E-9
7/20/2017 1:43:01 PM	-808.812300E-9
7/20/2017 1:43:01 PM	-808.853700E-9
7/20/2017 1:43:02 PM	-808.882300E-9
7/20/2017 1:43:02 PM	-809.293900E-9
7/20/2017 1:43:03 PM	-808.756300E-9
7/20/2017 1:43:04 PM	-808.854100E-9
7/20/2017 1:43:04 PM	-809.057400E-9
7/20/2017 1:43:05 PM	-808.730900E-9
7/20/2017 1:43:05 PM	-808.666800E-9
7/20/2017 1:43:06 PM	-809.295700E-9
7/20/2017 1:43:07 PM	-809.112000E-9
7/20/2017 1:43:07 PM	-809.212500E-9
7/20/2017 1:43:08 PM	-809.162400E-9
7/20/2017 1:43:08 PM	-809.175600E-9
7/20/2017 1:43:09 PM	-809.321100E-9
7/20/2017 1:43:10 PM	-809.323000E-9
7/20/2017 1:43:10 PM	-808.662700E-9
7/20/2017 1:43:11 PM	-808.242000E-9
7/20/2017 1:43:11 PM	-808.264800E-9
7/20/2017 1:43:12 PM	-807.889100E-9
7/20/2017 1:43:13 PM	-807.077000E-9
7/20/2017 1:43:13 PM	-805.244300E-9
7/20/2017 1:43:14 PM	-807.102900E-9
7/20/2017 1:43:14 PM	-810.032800E-9
7/20/2017 1:43:15 PM	-810.369800E-9
7/20/2017 1:43:16 PM	-810.083700E-9
7/20/2017 1:43:16 PM	-810.183800E-9
7/20/2017 1:43:17 PM	-810.326600E-9
7/20/2017 1:43:17 PM	-809.113800E-9
7/20/2017 1:43:18 PM	-813.222400E-9
7/20/2017 1:43:19 PM	-811.770000E-9
7/20/2017 1:43:19 PM	-808.317100E-9
7/20/2017 1:43:20 PM	-808.826800E-9
7/20/2017 1:43:20 PM	-808.475800E-9
7/20/2017 1:43:21 PM	-808.588500E-9
7/20/2017 1:43:22 PM	-808.645800E-9
7/20/2017 1:43:22 PM	-808.426600E-9
7/20/2017 1:43:23 PM	-808.602200E-9
7/20/2017 1:43:23 PM	-808.672700E-9
7/20/2017 1:43:24 PM	-811.263800E-9
7/20/2017 1:43:25 PM	-810.544400E-9
7/20/2017 1:43:25 PM	-807.038800E-9
7/20/2017 1:43:26 PM	-807.092000E-9
7/20/2017 1:43:26 PM	-807.300200E-9
7/20/2017 1:43:27 PM	-807.025100E-9
7/20/2017 1:43:28 PM	-807.516200E-9
7/20/2017 1:43:28 PM	-806.995100E-9
7/20/2017 1:43:29 PM	-807.870500E-9
7/20/2017 1:43:30 PM	-807.998300E-9
7/20/2017 1:43:30 PM	-807.827700E-9
7/20/2017 1:43:31 PM	-807.888700E-9
7/20/2017 1:43:31 PM	-807.921000E-9
7/20/2017 1:43:32 PM	-807.318400E-9
7/20/2017 1:43:33 PM	-807.239800E-9
7/20/2017 1:43:33 PM	-807.301100E-9
7/20/2017 1:43:34 PM	-807.484900E-9
7/20/2017 1:43:34 PM	-812.184200E-9
7/20/2017 1:43:35 PM	-806.484400E-9
7/20/2017 1:43:36 PM	-807.460300E-9
7/20/2017 1:43:36 PM	-810.121500E-9
7/20/2017 1:43:37 PM	-807.380300E-9
7/20/2017 1:43:37 PM	-803.934700E-9
7/20/2017 1:43:38 PM	-803.570900E-9
7/20/2017 1:43:39 PM	-803.891500E-9
7/20/2017 1:43:39 PM	-803.671400E-9
7/20/2017 1:43:40 PM	-803.735900E-9
7/20/2017 1:43:40 PM	-803.326700E-9
7/20/2017 1:43:41 PM	-803.559900E-9
7/20/2017 1:43:42 PM	-803.548600E-9
7/20/2017 1:43:42 PM	-804.719500E-9
7/20/2017 1:43:43 PM	-806.267100E-9
7/20/2017 1:43:43 PM	-807.631300E-9
7/20/2017 1:43:44 PM	-807.562600E-9
7/20/2017 1:43:45 PM	-807.276600E-9
7/20/2017 1:43:45 PM	-807.680400E-9
7/20/2017 1:43:46 PM	-807.782700E-9
7/20/2017 1:43:46 PM	-807.722200E-9
7/20/2017 1:43:47 PM	-807.100200E-9
7/20/2017 1:43:48 PM	-808.228400E-9
7/20/2017 1:43:48 PM	-808.474400E-9
7/20/2017 1:43:49 PM	-808.964600E-9
7/20/2017 1:43:49 PM	-809.207400E-9
7/20/2017 1:43:50 PM	-809.106500E-9
7/20/2017 1:43:51 PM	-809.061900E-9
7/20/2017 1:43:51 PM	-809.204700E-9
7/20/2017 1:43:52 PM	-809.218400E-9
7/20/2017 1:43:52 PM	-808.815900E-9
7/20/2017 1:43:53 PM	-809.241600E-9
7/20/2017 1:43:54 PM	-809.418500E-9
7/20/2017 1:43:54 PM	-809.303900E-9
7/20/2017 1:43:55 PM	-809.253400E-9
7/20/2017 1:43:55 PM	-809.544000E-9
7/20/2017 1:43:56 PM	-809.409800E-9
7/20/2017 1:43:57 PM	-809.481700E-9
7/20/2017 1:43:57 PM	-809.655400E-9
7/20/2017 1:43:58 PM	-809.667200E-9
7/20/2017 1:43:58 PM	-810.000100E-9
7/20/2017 1:43:59 PM	-809.570800E-9
7/20/2017 1:44:00 PM	-809.782700E-9
7/20/2017 1:44:00 PM	-809.785900E-9
7/20/2017 1:44:01 PM	-809.714900E-9
7/20/2017 1:44:01 PM	-809.608100E-9
7/20/2017 1:44:02 PM	-809.879600E-9
7/20/2017 1:44:03 PM	-809.525800E-9
7/20/2017 1:44:03 PM	-809.706800E-9
7/20/2017 1:44:04 PM	-810.082800E-9
7/20/2017 1:44:04 PM	-809.915000E-9
7/20/2017 1:44:05 PM	-810.102800E-9
7/20/2017 1:44:06 PM	-810.142900E-9
7/20/2017 1:44:06 PM	-810.145600E-9
7/20/2017 1:44:07 PM	-810.387100E-9
7/20/2017 1:44:07 PM	-810.836400E-9
7/20/2017 1:44:08 PM	-810.554000E-9
7/20/2017 1:44:09 PM	-811.128800E-9
7/20/2017 1:44:09 PM	-810.896400E-9
7/20/2017 1:44:10 PM	-810.752700E-9
7/20/2017 1:44:10 PM	-810.977300E-9
7/20/2017 1:44:11 PM	-810.832700E-9
7/20/2017 1:44:12 PM	-810.935900E-9
7/20/2017 1:44:12 PM	-811.042400E-9
7/20/2017 1:44:13 PM	-810.963700E-9
7/20/2017 1:44:13 PM	-810.891800E-9
7/20/2017 1:44:14 PM	-810.941900E-9
7/20/2017 1:44:15 PM	-811.043300E-9
7/20/2017 1:44:15 PM	-811.079600E-9
7/20/2017 1:44:16 PM	-811.308800E-9
7/20/2017 1:44:16 PM	-810.893700E-9
7/20/2017 1:44:17 PM	-811.242000E-9
7/20/2017 1:44:18 PM	-811.218300E-9
7/20/2017 1:44:18 PM	-811.366600E-9
7/20/2017 1:44:19 PM	-810.961400E-9
7/20/2017 1:44:19 PM	-811.007800E-9
7/20/2017 1:44:20 PM	-811.272900E-9
7/20/2017 1:44:21 PM	-811.484800E-9
7/20/2017 1:44:21 PM	-811.377500E-9
7/20/2017 1:44:22 PM	-811.483500E-9
7/20/2017 1:44:22 PM	-811.413000E-9
7/20/2017 1:44:23 PM	-811.441600E-9
7/20/2017 1:44:24 PM	-811.311600E-9
7/20/2017 1:44:24 PM	-811.555300E-9
7/20/2017 1:44:25 PM	-811.363000E-9
7/20/2017 1:44:25 PM	-811.400700E-9
7/20/2017 1:44:26 PM	-811.431600E-9
7/20/2017 1:44:27 PM	-811.638500E-9
7/20/2017 1:44:27 PM	-811.809500E-9
7/20/2017 1:44:28 PM	-811.443900E-9
7/20/2017 1:44:28 PM	-811.644900E-9
7/20/2017 1:44:29 PM	-811.713100E-9
7/20/2017 1:44:30 PM	-811.714900E-9
7/20/2017 1:44:30 PM	-811.786800E-9
7/20/2017 1:44:31 PM	-811.803600E-9
7/20/2017 1:44:31 PM	-811.824100E-9
7/20/2017 1:44:32 PM	-812.198800E-9
7/20/2017 1:44:33 PM	-811.927700E-9
7/20/2017 1:44:33 PM	-811.812200E-9
7/20/2017 1:44:34 PM	-811.457100E-9
7/20/2017 1:44:34 PM	-811.733600E-9
7/20/2017 1:44:35 PM	-811.854500E-9
7/20/2017 1:44:36 PM	-811.885000E-9
7/20/2017 1:44:36 PM	-812.041400E-9
7/20/2017 1:44:37 PM	-811.999100E-9
7/20/2017 1:44:37 PM	-811.883200E-9
7/20/2017 1:44:38 PM	-811.934600E-9
7/20/2017 1:44:39 PM	-812.178300E-9
7/20/2017 1:44:39 PM	-812.231100E-9
7/20/2017 1:44:40 PM	-812.162400E-9
7/20/2017 1:44:40 PM	-812.202400E-9
7/20/2017 1:44:41 PM	-812.421100E-9
7/20/2017 1:44:42 PM	-812.099600E-9
