X_position	Y_position	measurement
3.000	6.000	-14.154E-12
4.000	6.000	-3.084E-12
5.000	6.000	7.189E-12
6.000	6.000	7.330E-12
7.000	6.000	8.020E-12
8.000	6.000	9.010E-12
9.000	6.000	9.128E-12
10.000	6.000	10.149E-12
11.000	6.000	10.828E-12
12.000	6.000	10.671E-12
13.000	6.000	10.646E-12
14.000	6.000	10.040E-12
15.000	6.000	10.315E-12
16.000	6.000	10.192E-12
17.000	6.000	9.794E-12
18.000	6.000	10.247E-12
19.000	6.000	9.439E-12
19.000	7.000	8.609E-12
18.000	7.000	9.284E-12
17.000	7.000	10.559E-12
16.000	7.000	10.818E-12
15.000	7.000	12.089E-12
14.000	7.000	10.026E-12
13.000	7.000	7.113E-12
12.000	7.000	10.683E-12
11.000	7.000	25.664E-12
10.000	7.000	43.294E-12
9.000	7.000	28.580E-12
8.000	7.000	30.148E-12
7.000	7.000	31.365E-12
6.000	7.000	31.261E-12
5.000	7.000	30.049E-12
4.000	7.000	36.423E-12
3.000	7.000	21.836E-12
3.000	8.000	-23.025E-12
4.000	8.000	-69.691E-12
5.000	8.000	-290.459E-12
6.000	8.000	0.000
7.000	8.000	-1.202E-9
8.000	8.000	0.000
9.000	8.000	0.000
10.000	8.000	-770.022E-12
11.000	8.000	-756.886E-12
12.000	8.000	-553.893E-12
13.000	8.000	-567.552E-12
14.000	8.000	-549.653E-12
15.000	8.000	-350.780E-12
16.000	8.000	109.436E-12
17.000	8.000	570.002E-12
18.000	8.000	228.340E-12
19.000	8.000	147.425E-12
19.000	9.000	132.229E-12
18.000	9.000	116.263E-12
17.000	9.000	-68.082E-12
16.000	9.000	-13.721E-12
15.000	9.000	-678.213E-15
14.000	9.000	4.142E-12
13.000	9.000	5.384E-12
12.000	9.000	5.704E-12
11.000	9.000	6.620E-12
10.000	9.000	7.647E-12
9.000	9.000	6.381E-12
8.000	9.000	4.336E-12
7.000	9.000	2.946E-12
6.000	9.000	3.772E-12
5.000	9.000	3.284E-12
4.000	9.000	3.469E-12
3.000	9.000	8.804E-12
3.000	10.000	12.718E-12
4.000	10.000	19.360E-12
5.000	10.000	21.184E-12
6.000	10.000	21.085E-12
7.000	10.000	20.790E-12
8.000	10.000	18.115E-12
9.000	10.000	15.963E-12
10.000	10.000	14.304E-12
11.000	10.000	11.482E-12
12.000	10.000	4.055E-12
13.000	10.000	-1.742E-12
14.000	10.000	-7.114E-12
15.000	10.000	-5.312E-12
16.000	10.000	-9.114E-12
17.000	10.000	-9.646E-12
18.000	10.000	-1.466E-12
19.000	10.000	531.131E-15
19.000	11.000	1.737E-12
18.000	11.000	4.209E-12
17.000	11.000	6.491E-12
16.000	11.000	10.536E-12
15.000	11.000	10.544E-12
14.000	11.000	7.585E-12
13.000	11.000	12.046E-12
12.000	11.000	13.695E-12
11.000	11.000	8.138E-12
10.000	11.000	3.567E-12
9.000	11.000	404.299E-15
8.000	11.000	-8.144E-12
7.000	11.000	-2.615E-12
6.000	11.000	-5.038E-12
5.000	11.000	-5.892E-12
4.000	11.000	-6.458E-12
3.000	11.000	-5.912E-12
3.000	12.000	-5.698E-12
4.000	12.000	-5.221E-12
5.000	12.000	-56.488E-15
6.000	12.000	4.332E-12
7.000	12.000	12.725E-12
8.000	12.000	7.300E-12
9.000	12.000	9.451E-12
10.000	12.000	10.898E-12
11.000	12.000	11.264E-12
12.000	12.000	10.939E-12
13.000	12.000	11.285E-12
14.000	12.000	11.014E-12
15.000	12.000	10.376E-12
16.000	12.000	11.047E-12
17.000	12.000	11.583E-12
18.000	12.000	11.253E-12
19.000	12.000	10.948E-12
19.000	13.000	11.424E-12
18.000	13.000	11.544E-12
17.000	13.000	11.035E-12
16.000	13.000	9.754E-12
15.000	13.000	10.178E-12
14.000	13.000	10.113E-12
13.000	13.000	8.690E-12
12.000	13.000	8.742E-12
11.000	13.000	9.510E-12
10.000	13.000	9.454E-12
9.000	13.000	8.741E-12
8.000	13.000	8.792E-12
7.000	13.000	9.078E-12
6.000	13.000	9.931E-12
5.000	13.000	10.231E-12
4.000	13.000	10.955E-12
3.000	13.000	12.250E-12
3.000	14.000	12.047E-12
4.000	14.000	12.008E-12
5.000	14.000	12.736E-12
6.000	14.000	13.006E-12
7.000	14.000	12.754E-12
8.000	14.000	12.716E-12
9.000	14.000	7.963E-12
10.000	14.000	9.868E-12
11.000	14.000	10.476E-12
12.000	14.000	10.349E-12
13.000	14.000	11.647E-12
14.000	14.000	12.825E-12
15.000	14.000	0.000
16.000	14.000	8.282E-12
17.000	14.000	8.385E-12
18.000	14.000	10.329E-12
19.000	14.000	14.264E-12
19.000	15.000	12.323E-12
18.000	15.000	11.609E-12
17.000	15.000	10.959E-12
16.000	15.000	9.261E-12
15.000	15.000	7.538E-12
14.000	15.000	11.366E-12
13.000	15.000	10.635E-12
12.000	15.000	10.673E-12
11.000	15.000	9.310E-12
10.000	15.000	9.635E-12
9.000	15.000	8.571E-12
8.000	15.000	8.364E-12
7.000	15.000	7.813E-12
6.000	15.000	7.889E-12
5.000	15.000	8.328E-12
4.000	15.000	9.515E-12
3.000	15.000	9.675E-12
3.000	16.000	0.000
4.000	16.000	10.274E-12
5.000	16.000	11.369E-12
6.000	16.000	15.602E-12
7.000	16.000	17.768E-12
8.000	16.000	20.700E-12
9.000	16.000	24.305E-12
10.000	16.000	16.716E-12
11.000	16.000	769.873E-15
12.000	16.000	-3.683E-12
13.000	16.000	-1.580E-12
14.000	16.000	-879.297E-15
15.000	16.000	-5.872E-12
16.000	16.000	-13.115E-12
17.000	16.000	-19.004E-12
18.000	16.000	-25.861E-12
19.000	16.000	-33.247E-12
19.000	17.000	-30.341E-12
18.000	17.000	-19.206E-12
17.000	17.000	-16.329E-12
