X_position	Y_position	measurement
8.500	2.500	9.678E-6
9.500	2.500	9.686E-6
10.500	2.500	9.693E-6
11.500	2.500	9.700E-6
12.500	2.500	9.695E-6
13.500	2.500	9.690E-6
14.500	2.500	9.680E-6
15.500	2.500	9.672E-6
16.500	2.500	9.668E-6
17.500	2.500	9.675E-6
18.500	2.500	9.662E-6
18.500	3.500	9.666E-6
17.500	3.500	9.672E-6
16.500	3.500	9.682E-6
15.500	3.500	9.698E-6
14.500	3.500	9.761E-6
13.500	3.500	9.834E-6
12.500	3.500	9.764E-6
11.500	3.500	9.710E-6
10.500	3.500	9.692E-6
9.500	3.500	9.659E-6
8.500	3.500	9.663E-6
8.500	4.500	9.678E-6
9.500	4.500	9.676E-6
10.500	4.500	9.720E-6
11.500	4.500	10.074E-6
12.500	4.500	10.621E-6
13.500	4.500	10.950E-6
14.500	4.500	10.763E-6
15.500	4.500	10.179E-6
16.500	4.500	9.737E-6
17.500	4.500	9.705E-6
18.500	4.500	9.695E-6
18.500	5.500	9.697E-6
17.500	5.500	9.713E-6
16.500	5.500	10.069E-6
15.500	5.500	11.065E-6
14.500	5.500	11.753E-6
13.500	5.500	11.922E-6
12.500	5.500	11.698E-6
11.500	5.500	10.898E-6
10.500	5.500	10.014E-6
9.500	5.500	9.741E-6
8.500	5.500	9.737E-6
8.500	6.500	9.735E-6
9.500	6.500	9.761E-6
10.500	6.500	10.340E-6
11.500	6.500	11.546E-6
12.500	6.500	12.197E-6
13.500	6.500	12.286E-6
14.500	6.500	12.125E-6
15.500	6.500	11.688E-6
16.500	6.500	10.588E-6
17.500	6.500	9.767E-6
18.500	6.500	9.757E-6
18.500	7.500	9.768E-6
17.500	7.500	9.799E-6
16.500	7.500	10.670E-6
15.500	7.500	11.758E-6
14.500	7.500	0.000
13.500	7.500	12.281E-6
12.500	7.500	12.290E-6
11.500	7.500	11.696E-6
10.500	7.500	10.464E-6
9.500	7.500	9.811E-6
8.500	7.500	9.775E-6
8.500	8.500	9.768E-6
9.500	8.500	9.786E-6
10.500	8.500	10.139E-6
11.500	8.500	11.138E-6
12.500	8.500	11.911E-6
13.500	8.500	12.080E-6
14.500	8.500	11.939E-6
15.500	8.500	11.382E-6
16.500	8.500	10.365E-6
17.500	8.500	9.822E-6
18.500	8.500	9.773E-6
18.500	9.500	9.766E-6
17.500	9.500	9.782E-6
16.500	9.500	9.878E-6
15.500	9.500	10.552E-6
14.500	9.500	11.184E-6
13.500	9.500	11.404E-6
12.500	9.500	11.105E-6
11.500	9.500	10.420E-6
10.500	9.500	9.878E-6
9.500	9.500	9.811E-6
8.500	9.500	9.786E-6
8.500	10.500	9.784E-6
9.500	10.500	9.797E-6
10.500	10.500	9.807E-6
11.500	10.500	9.853E-6
12.500	10.500	10.079E-6
13.500	10.500	10.217E-6
14.500	10.500	10.105E-6
15.500	10.500	9.860E-6
16.500	10.500	9.799E-6
17.500	10.500	9.796E-6
18.500	10.500	9.795E-6
18.500	11.500	9.794E-6
17.500	11.500	9.796E-6
16.500	11.500	9.800E-6
15.500	11.500	9.802E-6
14.500	11.500	0.000
13.500	11.500	9.813E-6
12.500	11.500	9.806E-6
11.500	11.500	9.794E-6
10.500	11.500	9.779E-6
9.500	11.500	9.779E-6
8.500	11.500	9.797E-6
8.500	12.500	9.793E-6
9.500	12.500	9.790E-6
10.500	12.500	9.803E-6
11.500	12.500	9.793E-6
12.500	12.500	9.795E-6
13.500	12.500	9.788E-6
14.500	12.500	9.790E-6
15.500	12.500	9.792E-6
16.500	12.500	9.781E-6
17.500	12.500	9.781E-6
18.500	12.500	9.778E-6
