X_position	Y_position	measurement
8.500	2.500	8.304E-6
9.500	2.500	8.297E-6
10.500	2.500	8.306E-6
11.500	2.500	8.304E-6
12.500	2.500	8.287E-6
13.500	2.500	8.290E-6
14.500	2.500	8.288E-6
15.500	2.500	8.279E-6
16.500	2.500	8.284E-6
17.500	2.500	8.281E-6
18.500	2.500	8.312E-6
18.500	3.500	8.345E-6
17.500	3.500	8.341E-6
16.500	3.500	8.351E-6
15.500	3.500	8.387E-6
14.500	3.500	8.439E-6
13.500	3.500	8.474E-6
12.500	3.500	8.420E-6
11.500	3.500	8.374E-6
10.500	3.500	8.345E-6
9.500	3.500	8.327E-6
8.500	3.500	8.282E-6
8.500	4.500	8.239E-6
9.500	4.500	8.234E-6
10.500	4.500	8.241E-6
11.500	4.500	8.560E-6
12.500	4.500	9.073E-6
13.500	4.500	9.369E-6
14.500	4.500	9.148E-6
15.500	4.500	8.566E-6
16.500	4.500	8.210E-6
17.500	4.500	8.189E-6
18.500	4.500	8.184E-6
18.500	5.500	8.178E-6
17.500	5.500	8.185E-6
16.500	5.500	8.461E-6
15.500	5.500	9.462E-6
14.500	5.500	10.183E-6
13.500	5.500	10.385E-6
12.500	5.500	10.136E-6
11.500	5.500	9.300E-6
10.500	5.500	8.417E-6
9.500	5.500	8.195E-6
8.500	5.500	8.148E-6
8.500	6.500	8.144E-6
9.500	6.500	8.161E-6
10.500	6.500	8.754E-6
11.500	6.500	9.980E-6
12.500	6.500	10.655E-6
13.500	6.500	10.696E-6
14.500	6.500	10.536E-6
15.500	6.500	10.141E-6
16.500	6.500	8.993E-6
17.500	6.500	8.174E-6
18.500	6.500	8.174E-6
18.500	7.500	8.126E-6
17.500	7.500	8.171E-6
16.500	7.500	9.163E-6
15.500	7.500	10.288E-6
14.500	7.500	10.598E-6
13.500	7.500	10.666E-6
12.500	7.500	10.641E-6
11.500	7.500	10.041E-6
10.500	7.500	8.781E-6
9.500	7.500	8.112E-6
8.500	7.500	8.088E-6
8.500	8.500	8.083E-6
9.500	8.500	8.091E-6
10.500	8.500	8.454E-6
11.500	8.500	9.513E-6
12.500	8.500	10.321E-6
13.500	8.500	10.537E-6
14.500	8.500	10.469E-6
15.500	8.500	9.989E-6
16.500	8.500	8.977E-6
17.500	8.500	8.304E-6
18.500	8.500	8.237E-6
18.500	9.500	8.197E-6
17.500	9.500	8.227E-6
16.500	9.500	8.348E-6
15.500	9.500	9.061E-6
14.500	9.500	9.718E-6
13.500	9.500	9.934E-6
12.500	9.500	9.594E-6
11.500	9.500	8.823E-6
10.500	9.500	8.180E-6
9.500	9.500	8.063E-6
8.500	9.500	8.059E-6
8.500	10.500	8.052E-6
9.500	10.500	8.060E-6
10.500	10.500	8.069E-6
11.500	10.500	8.131E-6
12.500	10.500	8.409E-6
13.500	10.500	8.566E-6
14.500	10.500	8.428E-6
15.500	10.500	8.146E-6
16.500	10.500	8.106E-6
17.500	10.500	8.060E-6
18.500	10.500	8.055E-6
18.500	11.500	8.044E-6
17.500	11.500	8.051E-6
16.500	11.500	8.055E-6
15.500	11.500	8.086E-6
14.500	11.500	8.071E-6
13.500	11.500	8.074E-6
12.500	11.500	8.070E-6
11.500	11.500	8.064E-6
10.500	11.500	8.054E-6
9.500	11.500	8.059E-6
8.500	11.500	8.054E-6
8.500	12.500	8.044E-6
9.500	12.500	8.052E-6
10.500	12.500	8.042E-6
11.500	12.500	8.051E-6
12.500	12.500	8.048E-6
13.500	12.500	8.042E-6
14.500	12.500	8.046E-6
15.500	12.500	8.046E-6
16.500	12.500	8.036E-6
17.500	12.500	8.032E-6
18.500	12.500	8.030E-6
