X_position	Y_position	measurement
8.500	2.500	1.828E-6
9.500	2.500	1.836E-6
10.500	2.500	1.843E-6
11.500	2.500	1.848E-6
12.500	2.500	1.841E-6
13.500	2.500	1.847E-6
14.500	2.500	1.850E-6
15.500	2.500	1.843E-6
16.500	2.500	1.840E-6
17.500	2.500	1.835E-6
18.500	2.500	1.833E-6
18.500	3.500	1.834E-6
17.500	3.500	1.838E-6
16.500	3.500	1.846E-6
15.500	3.500	1.862E-6
14.500	3.500	1.916E-6
13.500	3.500	1.956E-6
12.500	3.500	1.892E-6
11.500	3.500	1.865E-6
10.500	3.500	1.853E-6
9.500	3.500	1.841E-6
8.500	3.500	1.837E-6
8.500	4.500	1.842E-6
9.500	4.500	1.842E-6
10.500	4.500	1.862E-6
11.500	4.500	99.000E+36
12.500	4.500	99.000E+36
13.500	4.500	99.000E+36
14.500	4.500	99.000E+36
15.500	4.500	99.000E+36
16.500	4.500	1.893E-6
17.500	4.500	1.847E-6
18.500	4.500	1.838E-6
18.500	5.500	1.841E-6
17.500	5.500	1.865E-6
16.500	5.500	99.000E+36
15.500	5.500	99.000E+36
14.500	5.500	99.000E+36
13.500	5.500	99.000E+36
