X_position	Y_position	measurement
3.000	2.500	-344.173E-12
4.000	2.500	-343.846E-12
5.000	2.500	-342.510E-12
6.000	2.500	-333.838E-12
7.000	2.500	-339.782E-12
8.000	2.500	-339.739E-12
9.000	2.500	-314.934E-12
10.000	2.500	-338.812E-12
11.000	2.500	-367.571E-12
12.000	2.500	-346.400E-12
13.000	2.500	0.000
14.000	2.500	-335.529E-12
15.000	2.500	-337.543E-12
16.000	2.500	1.816E-6
17.000	2.500	1.821E-6
18.000	2.500	1.823E-6
19.000	2.500	1.829E-6
19.000	3.500	1.836E-6
18.000	3.500	1.839E-6
17.000	3.500	1.848E-6
16.000	3.500	1.856E-6
15.000	3.500	1.885E-6
14.000	3.500	1.944E-6
13.000	3.500	1.923E-6
12.000	3.500	1.876E-6
11.000	3.500	1.869E-6
10.000	3.500	1.850E-6
9.000	3.500	1.844E-6
8.000	3.500	1.841E-6
7.000	3.500	1.833E-6
6.000	3.500	1.828E-6
5.000	3.500	1.825E-6
4.000	3.500	1.825E-6
3.000	3.500	1.826E-6
3.000	4.500	1.826E-6
4.000	4.500	1.826E-6
5.000	4.500	1.824E-6
6.000	4.500	1.825E-6
7.000	4.500	1.824E-6
8.000	4.500	1.834E-6
9.000	4.500	1.840E-6
10.000	4.500	1.848E-6
11.000	4.500	1.906E-6
12.000	4.500	0.000
13.000	4.500	3.044E-6
14.000	4.500	3.166E-6
15.000	4.500	2.782E-6
16.000	4.500	2.051E-6
17.000	4.500	0.000
18.000	4.500	1.835E-6
19.000	4.500	1.834E-6
19.000	5.500	1.833E-6
18.000	5.500	1.843E-6
17.000	5.500	1.957E-6
16.000	5.500	3.117E-6
15.000	5.500	3.979E-6
14.000	5.500	4.251E-6
13.000	5.500	4.157E-6
12.000	5.500	3.538E-6
11.000	5.500	2.444E-6
10.000	5.500	0.000
9.000	5.500	1.829E-6
8.000	5.500	1.824E-6
7.000	5.500	1.814E-6
6.000	5.500	1.812E-6
5.000	5.500	1.809E-6
4.000	5.500	1.808E-6
3.000	5.500	1.807E-6
3.000	6.500	1.806E-6
4.000	6.500	1.807E-6
5.000	6.500	1.809E-6
6.000	6.500	1.812E-6
7.000	6.500	1.811E-6
8.000	6.500	1.813E-6
9.000	6.500	1.819E-6
10.000	6.500	1.888E-6
11.000	6.500	0.000
12.000	6.500	4.245E-6
13.000	6.500	4.587E-6
14.000	6.500	4.685E-6
15.000	6.500	4.603E-6
16.000	6.500	3.975E-6
17.000	6.500	2.492E-6
18.000	6.500	1.848E-6
19.000	6.500	1.831E-6
19.000	7.500	1.830E-6
18.000	7.500	1.852E-6
17.000	7.500	0.000
16.000	7.500	4.200E-6
15.000	7.500	4.766E-6
14.000	7.500	4.817E-6
13.000	7.500	4.676E-6
12.000	7.500	4.337E-6
11.000	7.500	3.185E-6
10.000	7.500	1.930E-6
9.000	7.500	1.824E-6
8.000	7.500	1.817E-6
7.000	7.500	1.819E-6
6.000	7.500	1.819E-6
5.000	7.500	1.814E-6
4.000	7.500	1.811E-6
3.000	7.500	1.810E-6
3.000	8.500	1.809E-6
4.000	8.500	1.810E-6
5.000	8.500	1.812E-6
6.000	8.500	1.813E-6
7.000	8.500	1.812E-6
8.000	8.500	1.816E-6
9.000	8.500	1.816E-6
10.000	8.500	1.856E-6
11.000	8.500	2.761E-6
12.000	8.500	4.084E-6
13.000	8.500	4.565E-6
14.000	8.500	4.734E-6
15.000	8.500	4.601E-6
16.000	8.500	3.787E-6
17.000	8.500	2.370E-6
18.000	8.500	1.842E-6
19.000	8.500	1.825E-6
19.000	9.500	1.819E-6
18.000	9.500	1.826E-6
17.000	9.500	1.896E-6
16.000	9.500	0.000
15.000	9.500	3.832E-6
14.000	9.500	4.240E-6
13.000	9.500	4.063E-6
12.000	9.500	3.242E-6
11.000	9.500	2.185E-6
10.000	9.500	1.834E-6
9.000	9.500	1.818E-6
8.000	9.500	1.819E-6
7.000	9.500	1.817E-6
6.000	9.500	1.814E-6
5.000	9.500	1.811E-6
4.000	9.500	1.812E-6
3.000	9.500	1.812E-6
3.000	10.500	1.811E-6
4.000	10.500	1.812E-6
5.000	10.500	1.815E-6
6.000	10.500	1.811E-6
7.000	10.500	1.817E-6
8.000	10.500	1.820E-6
9.000	10.500	1.820E-6
10.000	10.500	1.824E-6
11.000	10.500	1.842E-6
12.000	10.500	0.000
13.000	10.500	2.653E-6
14.000	10.500	2.813E-6
15.000	10.500	2.496E-6
16.000	10.500	0.000
17.000	10.500	1.840E-6
18.000	10.500	1.827E-6
19.000	10.500	1.824E-6
19.000	11.500	1.821E-6
18.000	11.500	1.823E-6
17.000	11.500	1.831E-6
16.000	11.500	1.834E-6
15.000	11.500	1.848E-6
14.000	11.500	1.858E-6
13.000	11.500	1.853E-6
12.000	11.500	1.838E-6
11.000	11.500	1.827E-6
10.000	11.500	1.822E-6
9.000	11.500	1.822E-6
8.000	11.500	1.821E-6
7.000	11.500	1.822E-6
6.000	11.500	1.817E-6
5.000	11.500	1.819E-6
4.000	11.500	1.824E-6
3.000	11.500	1.821E-6
3.000	12.500	1.820E-6
4.000	12.500	1.821E-6
5.000	12.500	1.820E-6
6.000	12.500	1.820E-6
7.000	12.500	1.815E-6
8.000	12.500	1.818E-6
9.000	12.500	1.817E-6
10.000	12.500	1.819E-6
11.000	12.500	1.822E-6
12.000	12.500	1.825E-6
13.000	12.500	1.833E-6
14.000	12.500	1.834E-6
15.000	12.500	1.833E-6
16.000	12.500	1.831E-6
17.000	12.500	1.828E-6
18.000	12.500	1.828E-6
