X_position	Y_position	measurement
8.500	2.500	3.884E-6
9.500	2.500	3.887E-6
10.500	2.500	3.888E-6
11.500	2.500	3.888E-6
12.500	2.500	3.890E-6
13.500	2.500	3.891E-6
14.500	2.500	3.888E-6
15.500	2.500	3.888E-6
16.500	2.500	3.884E-6
17.500	2.500	3.879E-6
18.500	2.500	3.877E-6
18.500	3.500	3.880E-6
17.500	3.500	3.882E-6
16.500	3.500	3.885E-6
15.500	3.500	3.889E-6
14.500	3.500	3.911E-6
13.500	3.500	3.926E-6
12.500	3.500	3.911E-6
11.500	3.500	3.897E-6
10.500	3.500	3.889E-6
9.500	3.500	3.882E-6
8.500	3.500	3.880E-6
8.500	4.500	3.886E-6
9.500	4.500	3.889E-6
10.500	4.500	3.897E-6
11.500	4.500	3.991E-6
12.500	4.500	4.158E-6
13.500	4.500	4.267E-6
14.500	4.500	4.217E-6
15.500	4.500	4.034E-6
16.500	4.500	3.898E-6
17.500	4.500	3.888E-6
18.500	4.500	3.885E-6
18.500	5.500	3.887E-6
17.500	5.500	3.891E-6
16.500	5.500	4.000E-6
15.500	5.500	4.365E-6
14.500	5.500	4.643E-6
13.500	5.500	4.695E-6
12.500	5.500	4.522E-6
11.500	5.500	4.207E-6
10.500	5.500	3.947E-6
9.500	5.500	3.888E-6
8.500	5.500	3.883E-6
8.500	6.500	3.882E-6
9.500	6.500	3.887E-6
10.500	6.500	4.025E-6
11.500	6.500	4.405E-6
12.500	6.500	4.804E-6
13.500	6.500	5.030E-6
14.500	6.500	4.979E-6
15.500	6.500	4.664E-6
16.500	6.500	4.185E-6
17.500	6.500	3.896E-6
18.500	6.500	3.885E-6
18.500	7.500	3.887E-6
17.500	7.500	3.899E-6
16.500	7.500	4.213E-6
15.500	7.500	4.701E-6
14.500	7.500	5.038E-6
13.500	7.500	5.090E-6
12.500	7.500	4.856E-6
11.500	7.500	4.443E-6
10.500	7.500	4.045E-6
9.500	7.500	3.891E-6
8.500	7.500	3.885E-6
8.500	8.500	3.880E-6
9.500	8.500	3.885E-6
10.500	8.500	3.966E-6
11.500	8.500	4.260E-6
12.500	8.500	4.615E-6
13.500	8.500	4.819E-6
14.500	8.500	4.772E-6
15.500	8.500	4.488E-6
16.500	8.500	4.109E-6
17.500	8.500	3.897E-6
18.500	8.500	3.882E-6
18.500	9.500	3.882E-6
17.500	9.500	3.909E-6
16.500	9.500	3.950E-6
15.500	9.500	4.156E-6
14.500	9.500	4.353E-6
13.500	9.500	4.400E-6
12.500	9.500	4.264E-6
11.500	9.500	4.037E-6
10.500	9.500	3.900E-6
9.500	9.500	3.882E-6
8.500	9.500	3.884E-6
8.500	10.500	3.881E-6
9.500	10.500	3.882E-6
10.500	10.500	3.884E-6
11.500	10.500	3.894E-6
12.500	10.500	3.957E-6
13.500	10.500	4.003E-6
14.500	10.500	3.980E-6
15.500	10.500	3.908E-6
16.500	10.500	3.898E-6
17.500	10.500	3.880E-6
18.500	10.500	3.878E-6
18.500	11.500	3.875E-6
17.500	11.500	3.878E-6
16.500	11.500	3.881E-6
15.500	11.500	3.882E-6
14.500	11.500	3.887E-6
13.500	11.500	3.888E-6
12.500	11.500	3.889E-6
11.500	11.500	3.880E-6
10.500	11.500	3.879E-6
9.500	11.500	3.878E-6
8.500	11.500	3.878E-6
8.500	12.500	3.875E-6
9.500	12.500	3.875E-6
10.500	12.500	3.875E-6
11.500	12.500	3.875E-6
12.500	12.500	3.875E-6
13.500	12.500	3.880E-6
14.500	12.500	3.879E-6
15.500	12.500	3.876E-6
16.500	12.500	3.878E-6
17.500	12.500	3.878E-6
18.500	12.500	3.876E-6
