X_position	Y_position	measurement
8.500	2.500	9.774E-6
9.500	2.500	9.775E-6
10.500	2.500	9.775E-6
11.500	2.500	9.781E-6
12.500	2.500	9.782E-6
13.500	2.500	9.776E-6
14.500	2.500	9.769E-6
15.500	2.500	9.763E-6
16.500	2.500	9.752E-6
17.500	2.500	9.754E-6
18.500	2.500	9.759E-6
18.500	3.500	9.759E-6
17.500	3.500	9.768E-6
16.500	3.500	9.769E-6
15.500	3.500	9.763E-6
14.500	3.500	9.806E-6
13.500	3.500	9.893E-6
12.500	3.500	9.811E-6
11.500	3.500	9.758E-6
10.500	3.500	9.757E-6
9.500	3.500	9.775E-6
8.500	3.500	9.784E-6
8.500	4.500	9.780E-6
9.500	4.500	9.789E-6
10.500	4.500	9.797E-6
11.500	4.500	10.163E-6
12.500	4.500	10.691E-6
13.500	4.500	10.971E-6
14.500	4.500	10.741E-6
15.500	4.500	10.176E-6
16.500	4.500	9.816E-6
17.500	4.500	9.786E-6
18.500	4.500	9.790E-6
18.500	5.500	9.785E-6
17.500	5.500	9.805E-6
16.500	5.500	10.088E-6
15.500	5.500	11.044E-6
14.500	5.500	11.736E-6
13.500	5.500	11.982E-6
12.500	5.500	11.793E-6
11.500	5.500	11.001E-6
10.500	5.500	10.085E-6
9.500	5.500	9.807E-6
8.500	5.500	9.784E-6
8.500	6.500	9.780E-6
9.500	6.500	9.692E-6
10.500	6.500	10.342E-6
11.500	6.500	11.558E-6
12.500	6.500	12.150E-6
13.500	6.500	12.186E-6
14.500	6.500	12.103E-6
15.500	6.500	11.884E-6
16.500	6.500	10.860E-6
17.500	6.500	10.186E-6
18.500	6.500	10.215E-6
18.500	7.500	10.256E-6
17.500	7.500	10.316E-6
16.500	7.500	11.212E-6
15.500	7.500	12.380E-6
14.500	7.500	12.731E-6
13.500	7.500	12.849E-6
12.500	7.500	12.872E-6
11.500	7.500	12.319E-6
10.500	7.500	11.081E-6
9.500	7.500	10.372E-6
8.500	7.500	10.335E-6
8.500	8.500	10.342E-6
9.500	8.500	10.337E-6
10.500	8.500	10.753E-6
11.500	8.500	11.804E-6
12.500	8.500	12.571E-6
13.500	8.500	12.728E-6
14.500	8.500	12.609E-6
15.500	8.500	12.018E-6
16.500	8.500	10.904E-6
17.500	8.500	10.300E-6
18.500	8.500	10.272E-6
18.500	9.500	10.260E-6
17.500	9.500	10.260E-6
16.500	9.500	10.354E-6
15.500	9.500	11.069E-6
14.500	9.500	11.750E-6
13.500	9.500	11.995E-6
12.500	9.500	11.679E-6
11.500	9.500	10.922E-6
10.500	9.500	10.302E-6
9.500	9.500	10.203E-6
8.500	9.500	10.193E-6
8.500	10.500	10.191E-6
9.500	10.500	10.189E-6
10.500	10.500	10.191E-6
11.500	10.500	10.248E-6
12.500	10.500	10.513E-6
13.500	10.500	10.634E-6
14.500	10.500	10.502E-6
15.500	10.500	10.226E-6
16.500	10.500	10.159E-6
17.500	10.500	10.145E-6
18.500	10.500	10.140E-6
18.500	11.500	10.129E-6
17.500	11.500	10.130E-6
16.500	11.500	10.128E-6
15.500	11.500	10.126E-6
14.500	11.500	10.123E-6
13.500	11.500	10.123E-6
12.500	11.500	10.113E-6
11.500	11.500	10.099E-6
10.500	11.500	10.089E-6
9.500	11.500	10.080E-6
8.500	11.500	10.077E-6
8.500	12.500	10.066E-6
9.500	12.500	10.062E-6
10.500	12.500	10.066E-6
11.500	12.500	10.059E-6
12.500	12.500	10.055E-6
13.500	12.500	10.057E-6
14.500	12.500	10.055E-6
15.500	12.500	10.053E-6
16.500	12.500	10.046E-6
17.500	12.500	10.040E-6
18.500	12.500	10.033E-6
