X_position	Y_position	measurement
8.500	2.500	1.833E-6
9.500	2.500	1.841E-6
10.500	2.500	1.846E-6
11.500	2.500	1.848E-6
12.500	2.500	1.844E-6
13.500	2.500	1.848E-6
14.500	2.500	1.850E-6
15.500	2.500	1.843E-6
16.500	2.500	1.839E-6
17.500	2.500	1.834E-6
18.500	2.500	1.831E-6
18.500	3.500	1.836E-6
17.500	3.500	1.840E-6
16.500	3.500	1.849E-6
15.500	3.500	1.864E-6
14.500	3.500	1.918E-6
13.500	3.500	1.955E-6
12.500	3.500	1.890E-6
11.500	3.500	1.868E-6
10.500	3.500	1.856E-6
9.500	3.500	1.844E-6
8.500	3.500	1.839E-6
8.500	4.500	1.844E-6
9.500	4.500	1.845E-6
10.500	4.500	1.866E-6
11.500	4.500	2.117E-6
12.500	4.500	2.788E-6
13.500	4.500	3.199E-6
14.500	4.500	3.077E-6
15.500	4.500	2.448E-6
16.500	4.500	1.900E-6
17.500	4.500	1.853E-6
18.500	4.500	1.844E-6
18.500	5.500	1.852E-6
17.500	5.500	1.873E-6
16.500	5.500	2.464E-6
15.500	5.500	3.668E-6
14.500	5.500	4.229E-6
13.500	5.500	4.285E-6
12.500	5.500	3.968E-6
11.500	5.500	3.026E-6
10.500	5.500	1.991E-6
9.500	5.500	1.850E-6
8.500	5.500	1.845E-6
8.500	6.500	1.839E-6
9.500	6.500	1.853E-6
10.500	6.500	2.360E-6
11.500	6.500	3.738E-6
12.500	6.500	4.488E-6
13.500	6.500	4.688E-6
14.500	6.500	4.707E-6
15.500	6.500	4.456E-6
16.500	6.500	3.312E-6
17.500	6.500	1.950E-6
18.500	6.500	1.852E-6
18.500	7.500	1.851E-6
17.500	7.500	2.003E-6
16.500	7.500	3.525E-6
15.500	7.500	4.624E-6
14.500	7.500	4.859E-6
13.500	7.500	4.793E-6
12.500	7.500	4.572E-6
11.500	7.500	3.937E-6
10.500	7.500	2.465E-6
9.500	7.500	1.854E-6
8.500	7.500	1.840E-6
8.500	8.500	1.838E-6
9.500	8.500	1.847E-6
10.500	8.500	2.185E-6
11.500	8.500	3.507E-6
12.500	8.500	4.421E-6
13.500	8.500	4.700E-6
14.500	8.500	4.732E-6
15.500	8.500	4.333E-6
16.500	8.500	3.110E-6
17.500	8.500	1.928E-6
18.500	8.500	1.850E-6
18.500	9.500	1.842E-6
17.500	9.500	1.864E-6
16.500	9.500	2.271E-6
15.500	9.500	3.412E-6
14.500	9.500	4.146E-6
13.500	9.500	4.243E-6
12.500	9.500	3.778E-6
11.500	9.500	2.722E-6
10.500	9.500	1.897E-6
9.500	9.500	1.842E-6
8.500	9.500	1.837E-6
8.500	10.500	1.835E-6
9.500	10.500	1.838E-6
10.500	10.500	1.843E-6
11.500	10.500	1.923E-6
12.500	10.500	2.419E-6
13.500	10.500	2.770E-6
14.500	10.500	2.692E-6
15.500	10.500	2.226E-6
16.500	10.500	1.873E-6
17.500	10.500	1.848E-6
18.500	10.500	1.841E-6
18.500	11.500	1.836E-6
17.500	11.500	1.841E-6
16.500	11.500	1.847E-6
15.500	11.500	1.856E-6
14.500	11.500	1.872E-6
13.500	11.500	1.875E-6
12.500	11.500	1.863E-6
11.500	11.500	1.846E-6
10.500	11.500	1.840E-6
9.500	11.500	1.838E-6
8.500	11.500	1.835E-6
8.500	12.500	1.836E-6
9.500	12.500	1.835E-6
10.500	12.500	1.837E-6
11.500	12.500	1.839E-6
12.500	12.500	1.844E-6
13.500	12.500	1.848E-6
14.500	12.500	1.847E-6
15.500	12.500	1.848E-6
16.500	12.500	1.846E-6
17.500	12.500	1.842E-6
18.500	12.500	0.000
